checkpoint_time,wait_time,vehicles_in_queue
2025-03-18 11:02:06,0,0
2025-03-18 12:03:16,0,0
2025-03-18 13:08:02,0,0
2025-03-18 14:02:22,0,0
2025-03-18 15:02:35,0,0
2025-03-18 16:02:34,0,0
2025-03-18 17:02:09,0,0
2025-03-18 18:02:50,0,0
2025-03-18 19:01:52,0,0
2025-03-18 20:02:20,0,0
2025-03-18 21:02:07,0,0
2025-03-18 22:02:16,0,0
2025-03-18 23:02:14,0,0
2025-03-19 00:08:37,0,0
2025-03-19 01:29:35,0,0
2025-03-19 02:27:52,0,0
2025-03-19 03:11:51,0,0
2025-03-19 04:02:24,0,0
2025-03-19 05:02:22,0,0
2025-03-19 06:03:10,0,0
2025-03-19 07:02:16,0,1
2025-03-19 08:03:04,0,0
2025-03-19 09:02:29,0,0
2025-03-19 10:02:21,0,0
2025-03-19 11:02:03,0,0
2025-03-19 12:03:18,0,1
2025-03-19 13:07:54,0,0
2025-03-19 14:02:22,0,0
2025-03-19 15:02:28,0,0
2025-03-19 16:02:38,0,1
2025-03-19 17:02:30,0,0
2025-03-19 18:02:45,0,0
2025-03-19 19:02:10,0,0
2025-03-19 20:02:32,0,0
2025-03-19 21:02:13,0,1
2025-03-19 22:02:16,0,1
2025-03-19 23:02:28,0,1
2025-03-20 00:08:26,0,1
2025-03-20 01:29:27,0,1
2025-03-20 02:27:08,0,1
2025-03-20 03:11:07,0,1
2025-03-20 04:02:29,0,0
2025-03-20 05:02:15,0,0
