checkpoint_time,wait_time,vehicles_in_queue
2025-03-18 11:02:06,0,0
2025-03-18 12:03:16,0,0
2025-03-18 13:08:02,0,0
2025-03-18 14:02:22,0,0
2025-03-18 15:02:35,0,0
2025-03-18 16:02:34,0,0
2025-03-18 17:02:09,0,0
2025-03-18 18:02:50,0,0
2025-03-18 19:01:52,0,0
2025-03-18 20:02:20,0,0
2025-03-18 21:02:07,0,0
2025-03-18 22:02:16,0,0
2025-03-18 23:02:14,0,0
2025-03-19 00:08:37,0,0
2025-03-19 01:29:35,0,0
2025-03-19 02:27:52,0,0
2025-03-19 03:11:51,0,0
2025-03-19 04:02:24,0,0
2025-03-19 05:02:22,0,0
2025-03-19 06:03:10,0,0
2025-03-19 07:02:16,0,0
2025-03-19 08:03:04,0,0
2025-03-19 09:02:29,0,0
2025-03-19 10:02:21,0,0
2025-03-19 11:02:03,0,0
2025-03-19 12:03:18,0,0
2025-03-19 13:07:54,0,0
2025-03-19 14:02:22,0,0
2025-03-19 15:02:28,0,0
2025-03-19 16:02:38,0,0
2025-03-19 17:02:30,0,0
2025-03-19 18:02:45,0,0
2025-03-19 19:02:10,0,0
2025-03-19 20:02:32,0,0
2025-03-19 21:02:13,0,0
2025-03-19 22:02:16,0,0
2025-03-19 23:02:28,0,0
2025-03-20 00:08:26,0,0
2025-03-20 01:29:27,0,0
2025-03-20 02:27:08,0,0
2025-03-20 03:11:07,0,0
2025-03-20 04:02:29,0,0
2025-03-20 05:02:15,0,0
2025-03-20 06:02:51,0,0
2025-03-20 07:02:18,0,0
2025-03-20 08:02:54,0,0
2025-03-20 09:02:17,0,0
2025-03-20 10:02:20,0,0
2025-03-20 11:02:04,0,0
2025-03-20 12:03:27,0,0
2025-03-20 13:07:34,0,0
2025-03-20 14:02:21,0,0
2025-03-20 15:02:32,0,0
2025-03-20 16:02:35,0,0
2025-03-20 17:02:17,0,0
2025-03-20 18:02:41,0,0
2025-03-20 19:02:00,0,0
2025-03-20 20:02:13,0,0
2025-03-20 21:02:16,0,0
2025-03-20 22:01:59,0,0
2025-03-20 23:02:10,0,0
2025-03-21 00:08:34,0,0
2025-03-21 01:29:25,0,0
2025-03-21 02:27:54,0,0
2025-03-21 03:12:25,0,0
2025-03-21 04:02:36,0,0
2025-03-21 05:02:14,0,0
2025-03-21 06:02:59,0,0
2025-03-21 07:02:14,0,0
2025-03-21 08:02:41,0,0
2025-03-21 09:02:13,0,0
2025-03-21 10:02:16,0,0
2025-03-21 11:02:12,0,0
2025-03-21 12:03:15,0,0
2025-03-21 13:07:06,0,0
2025-03-21 14:02:12,0,0
2025-03-21 15:02:25,0,0
2025-03-21 16:02:24,0,0
2025-03-21 17:02:16,0,0
2025-03-21 18:02:32,0,0
2025-03-21 19:02:10,0,0
2025-03-21 20:02:17,0,0
2025-03-21 21:02:01,0,0
2025-03-21 22:02:12,0,0
2025-03-21 23:02:03,0,0
2025-03-22 00:08:27,0,0
2025-03-22 01:29:17,0,0
2025-03-22 02:26:26,0,0
2025-03-22 03:11:48,0,0
2025-03-22 04:02:17,0,0
2025-03-22 05:02:23,0,0
2025-03-22 06:02:26,0,0
2025-03-22 07:02:09,0,0
2025-03-22 08:02:38,0,0
2025-03-22 09:02:26,0,0
2025-03-22 10:02:08,0,0
2025-03-22 11:02:00,0,0
2025-03-22 12:02:54,0,0
2025-03-22 13:05:01,0,0
2025-03-22 14:02:01,0,0
2025-03-22 15:02:07,0,0
2025-03-22 16:02:13,0,0
2025-03-22 17:01:55,0,0
2025-03-22 18:02:32,0,0
2025-03-22 19:01:57,0,0
